Pathway_1,Pathway_2,Type_I CrossTalk score (obs),Type_II CrossTalk score (obs),Type_II CrossTalk (z-score),Type_II CrossTalk (p-value),Type_I CrossTalk size,Type_I CrossTalk points
Oocyte meiosis,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.206896551724138,1.02857142857143,-4.24264068711929,1.10452484992925e-05,6,PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;MAPK1
Oocyte meiosis,Ribosome,0,2.48648648648649,,,0,""
Oocyte meiosis,Shigellosis,0.0930232558139535,1.38297872340426,-2.70109371970493,0.00345559303578019,4,CUL1;SKP1;ITPR1;MAPK1
Oocyte meiosis,Small cell lung cancer,0.03125,1.39393939393939,-2.26274169979695,0.011825808327678,1,CDK2
Oocyte meiosis,Tuberculosis,0.266666666666667,0.973684210526316,-5.86850525882713,2.19870727357633e-09,8,CALML6;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;CAMK2A;MAPK1
Oocyte meiosis,Ubiquitin mediated proteolysis,0.0588235294117647,Inf,,,2,CUL1;SKP1
PD-L1 expression and PD-1 checkpoint pathway in cancer,Ribosome,0,2.44117647058824,,,0,""
PD-L1 expression and PD-1 checkpoint pathway in cancer,Shigellosis,0.189189189189189,1.06818181818182,-8.61727464006007,3.42832683740041e-18,7,JUN;EGFR;AKT1;MYD88;PIK3R1;TRAF6;MAPK1
PD-L1 expression and PD-1 checkpoint pathway in cancer,Small cell lung cancer,0.111111111111111,1.16666666666667,,,3,AKT1;PIK3R1;TRAF6
PD-L1 expression and PD-1 checkpoint pathway in cancer,Tuberculosis,0.4,0.628571428571429,,,10,PPP3CA;PPP3CB;PPP3CC;AKT1;MYD88;TRAF6;PPP3R1;PPP3R2;MAPK1;JAK2
PD-L1 expression and PD-1 checkpoint pathway in cancer,Ubiquitin mediated proteolysis,0.03125,Inf,,,1,TRAF6
Ribosome,Shigellosis,0,2.34782608695652,7.22478667734081,0.999999999999749,0,""
Ribosome,Small cell lung cancer,0,2.25,NaN,NaN,0,""
Ribosome,Tuberculosis,0,2.51351351351351,,,0,""
Ribosome,Ubiquitin mediated proteolysis,0,Inf,NaN,NaN,0,""
Shigellosis,Small cell lung cancer,0.235294117647059,0.761904761904762,-4.09805022485985,2.08322444644493e-05,8,BAX;TP53;AKT1;PIK3R1;TRAF2;TRAF5;TRAF6;BCL2
Shigellosis,Tuberculosis,0.175,1.02127659574468,-7.07106781186548,7.68729897214006e-13,7,BAX;AKT1;CD14;MYD88;TRAF6;BCL2;MAPK1
Shigellosis,Ubiquitin mediated proteolysis,0.125,Inf,Inf,1,5,SKP1;UBE2N;TRAF6;CUL1;UBC
Small cell lung cancer,Tuberculosis,0.178571428571429,1.15151515151515,-7.29527240102219,1.49027712888082e-13,5,BCL2;BAX;AKT1;CASP3;TRAF6
Small cell lung cancer,Ubiquitin mediated proteolysis,0.0333333333333333,Inf,Inf,1,1,TRAF6
Tuberculosis,Ubiquitin mediated proteolysis,0.0285714285714286,Inf,NaN,NaN,1,TRAF6
